coffeeconsumption_cups_per_day,lifeexpectancy_years,social_economic_status,baseline_health,diet
3,72.7,2,4,3
4,69.1,3,6,1
4,66.5,5,6,4
3,70.1,2,5,3
6,75.6,4,7,4
5,73.8,4,7,3
4,72.8,5,7,4
3,65.4,1,4,2
4,77.7,4,4,4
4,72.8,2,5,2
5,75.3,3,7,3
6,66.1,1,6,2
4,63.7,4,7,3
3,64.1,1,4,1
5,65.2,2,5,3
4,68.8,3,5,3
4,71.6,4,6,3
2,67.5,3,5,2
5,74.7,5,6,3
4,80.2,1,4,1
5,66.9,2,6,3
5,68.4,2,5,2
5,76.2,2,7,3
3,65.8,1,4,1
3,62.8,3,6,1
7,71.9,2,8,3
5,72.7,3,8,3
6,73.9,3,8,4
4,70.1,2,4,2
4,71.4,3,6,2
6,75.3,3,6,3
4,65.1,5,6,3
5,69.2,1,5,1
4,72.9,4,6,3
3,69.8,1,4,1
4,64.8,2,6,2
7,74.9,3,7,3
5,72.6,5,7,3
6,68.3,2,9,4
3,56.5,3,7,2
4,66.1,3,7,4
3,72.4,4,6,3
2,60.9,2,6,3
4,70.8,3,7,3
7,70.4,5,8,3
5,69.7,3,5,3
5,80.1,5,5,3
3,70.4,2,5,2
5,79.1,3,9,3
3,57.9,1,6,1
4,70,3,3,2
3,71.5,3,5,2
3,69.7,3,4,3
5,72.1,4,6,3
3,64.7,3,5,2
6,79.2,5,8,4
3,66.1,3,7,2
4,76.8,3,8,3
6,74.1,5,7,4
5,76.7,3,6,2
5,67.4,2,7,3
2,66.8,3,6,2
4,73.4,3,4,2
5,68.4,3,5,3
4,65.5,3,6,3
3,65.9,3,4,3
7,73.2,5,8,3
2,73.7,1,3,1
3,59.4,5,8,4
4,67.4,3,4,1
2,72.8,2,3,2
5,71.1,4,6,3
3,73.9,1,4,1
3,68.2,4,4,2
4,68.2,1,6,1
3,75.4,3,5,2
4,72.5,2,5,2
6,73.3,2,7,2
2,61.6,3,4,3
5,70.8,1,6,1
4,67,5,7,4
4,65.7,4,6,3
4,74.3,5,3,3
4,65.6,1,6,2
5,66.6,1,4,1
3,72.8,3,7,2
2,66.2,5,5,2
3,60.2,2,4,3
3,70,2,4,1
5,68,5,5,3
3,67.8,1,5,1
4,72,5,6,3
3,75.7,1,6,1
6,76.2,2,7,3
5,67.1,2,5,2
5,77.1,5,8,3
5,69.4,5,7,4
3,64,2,3,1
2,68.7,2,4,2
4,71.6,5,8,4
6,68,2,7,2
5,75,4,7,3
4,69.4,5,5,3
3,75.7,4,5,3
3,62.4,4,6,4
5,69.4,2,6,1
4,74.7,3,6,3
4,70.7,1,6,2
4,68.9,1,3,1
4,71.9,3,3,3
6,63,2,6,3
3,69.2,1,5,1
4,68.2,3,5,2
5,64.7,5,6,3
2,68.8,2,5,2
6,72.1,1,5,2
4,74.9,5,6,3
5,73.8,1,5,2
4,70.2,3,4,3
5,71.9,3,6,3
5,76,3,7,2
2,59.5,3,3,2
4,76.1,1,5,3
4,72.7,5,6,3
2,73.2,1,4,2
6,72.2,1,6,1
2,64.9,5,6,4
4,66.2,2,5,2
5,75,3,5,3
3,65.1,4,5,3
3,71.2,3,6,3
4,71.4,5,5,3
4,68.9,5,5,3
3,68,2,4,2
3,71.6,4,6,2
6,73,4,3,1
4,72.5,2,6,1
3,59.8,1,5,1
4,65.8,5,6,4
5,69.5,4,7,4
3,72.2,2,3,1
2,64.2,2,5,2
3,70.6,4,5,3
4,67.9,2,5,2
3,64,3,4,2
4,68.9,2,4,2
4,69.1,4,4,2
5,74.6,2,5,1
5,75,4,5,3
3,71.9,2,3,1
6,79.2,4,6,3
3,68.8,4,6,2
3,62.6,3,6,3
2,61.9,3,4,3
4,68.8,1,6,2
4,75.1,4,6,3
3,64.4,4,8,4
6,69.1,2,6,3
4,71.6,3,6,2
3,66,5,4,3
3,72.4,1,5,3
3,66.3,3,5,3
4,69.2,3,7,2
4,69.8,4,6,4
4,69.3,3,4,3
4,67.1,4,5,2
2,62.6,1,4,2
4,72.1,1,5,2
4,68.8,3,5,3
2,66,1,3,1
4,64.5,1,6,2
1,64.4,3,3,3
5,73.5,4,7,3
1,67.3,3,6,2
4,77.6,5,7,3
4,68.4,2,4,3
2,66.2,3,3,2
3,63.7,1,4,1
4,63.9,2,6,3
3,71.8,3,4,3
3,62.7,4,7,3
4,71,4,8,3
2,69.5,2,4,2
4,77.1,2,4,1
6,77.1,3,8,3
3,72.5,2,5,1
4,73,2,6,3
3,72.7,5,5,2
4,67.4,2,3,2
3,77.1,4,5,3
6,71.4,2,7,2
3,65.8,1,4,2
4,75.5,1,6,2
4,79.6,5,7,4
3,71.8,2,4,2
3,71.8,1,6,2
4,67.7,2,6,2
4,69,2,7,2
4,66.1,4,5,2
2,63.4,5,6,3
3,75.4,5,5,4
4,64.6,1,7,2
2,70.1,1,3,2
2,71.3,5,6,3
4,69.4,1,6,2
3,69.2,1,6,2
7,61.1,5,7,4
5,72.7,1,4,1
7,71.8,5,7,2
5,62.8,4,7,3
2,68.3,2,6,2
8,73.7,5,9,3
4,69.5,4,5,3
6,73.4,3,5,2
5,74.5,3,5,1
4,69.1,1,4,2
4,68.7,5,7,3
3,66.3,2,5,2
3,67.3,2,4,1
4,73.7,1,5,1
4,73.5,2,5,2
4,68.1,2,4,2
5,71.6,1,5,2
6,72.6,4,5,3
2,61.8,1,4,1
4,78.6,2,5,3
5,68.8,3,6,2
5,74.3,4,7,4
4,70.3,1,4,1
4,74.1,5,7,3
5,62.3,3,7,3
5,74.7,3,7,3
3,70.5,4,5,4
2,55.9,2,2,2
4,71.1,2,5,2
2,69,5,3,2
4,65.2,4,5,2
4,67.9,5,5,4
4,69.1,4,6,3
2,63.2,1,4,2
2,65,4,4,3
3,75.4,5,4,4
3,70.6,1,5,1
1,65.6,2,2,1
4,73.5,4,7,4
4,66.8,1,5,2
5,66,5,7,3
3,66.7,1,7,2
5,72.6,1,7,2
2,67.5,4,5,4
3,66.4,1,4,1
5,64.6,1,5,1
3,69.8,4,5,3
5,68.2,4,6,3
3,65.2,5,4,3
6,76.8,2,5,1
6,73.5,5,7,4
4,76.5,3,5,3
5,71.2,4,7,3
4,69.6,1,3,1
5,70.7,4,7,3
6,73.7,4,7,3
4,68.6,3,5,2
5,71.5,3,6,3
3,66.7,1,6,2
6,75.4,2,7,2
4,73.1,4,6,3
6,71.9,5,6,4
3,66.7,3,5,3
3,70.4,3,4,2
7,82.1,4,8,4
4,67.1,4,4,3
3,67.6,5,6,4
4,71.4,4,4,3
3,78.3,1,4,2
4,66.3,4,5,2
4,78.3,4,6,3
4,74.1,5,5,3
6,74.9,4,7,4
4,62.9,3,5,2
5,68.8,1,3,1
5,71,2,4,1
5,75.8,4,6,4
3,67,3,4,2
3,70.7,4,5,3
3,69.1,2,3,1
4,68.1,4,5,4
4,71.7,1,5,2
5,74,5,6,3
3,64.9,4,5,3
4,70.5,4,5,4
2,74.3,2,5,2
6,77.7,4,6,2
2,74.1,2,5,2
6,74,5,9,4
5,69.8,5,6,4
5,68.5,5,7,4
4,67.8,3,5,2
5,82.3,5,6,2
6,68.5,3,6,2
6,68.4,5,7,3
5,64.8,5,6,3
3,68.2,2,7,3
4,69.9,4,7,3
6,72.8,5,6,3
2,67.8,5,5,3
3,68.4,2,4,3
4,65.2,3,7,3
6,72.7,3,6,3
2,71.8,2,3,1
4,67,2,6,2
4,73.2,1,7,2
3,67,4,7,3
4,72.9,1,6,2
3,68.8,1,6,2
3,66.7,1,6,2
4,68.7,3,6,2
2,67.4,2,4,2
4,71.4,3,6,3
3,72.5,4,5,4
4,63.3,2,6,3
4,69.9,2,5,2
3,68,1,5,2
5,72.1,3,6,3
3,64.1,5,4,3
5,67.8,3,6,3
5,73.7,2,7,3
4,70.9,2,8,4
6,77.6,1,6,3
4,60.1,1,6,2
5,76.8,1,4,1
5,72.3,2,5,1
4,72.6,5,7,4
5,76.7,5,7,4
3,72,4,5,4
3,67.2,5,4,4
3,67,2,6,2
5,73.4,2,4,2
6,74.5,1,6,2
6,78.1,3,7,1
2,56.4,3,5,1
4,70.9,2,4,1
4,76.6,4,7,3
4,73.2,2,7,2
4,71,3,6,3
5,76,4,7,3
4,65.5,4,6,3
3,68.4,4,6,3
3,70.6,4,5,3
4,75.2,2,4,1
5,71.1,2,4,2
4,68.7,1,5,2
3,66.8,2,4,1
7,75.7,4,7,3
5,67.9,5,5,3
3,70.1,3,4,2
2,69.4,1,5,2
2,71.5,5,6,4
6,79.9,5,6,4
5,66.9,3,6,2
4,73.4,4,6,3
5,68.1,1,7,2
2,63.2,3,4,2
4,72.6,4,3,3
3,67.5,4,6,3
4,75.9,5,7,4
7,74.2,3,8,3
3,72.3,3,5,3
4,72.1,3,5,2
5,77.6,5,5,4
4,71,1,6,2
5,72.6,1,5,1
3,64.5,5,6,3
4,68.2,2,5,3
6,72.6,4,7,4
5,65.3,2,6,1
5,70.5,4,7,3
3,64.9,3,4,1
3,68,1,4,2
4,68.9,5,6,3
5,80.3,1,7,3
4,65.7,5,7,4
3,62.7,1,4,1
5,65.6,3,6,4
4,69.2,5,6,2
5,74.6,4,6,3
3,69.8,2,5,3
5,73.3,4,5,3
6,83.6,2,6,3
4,76.3,5,7,4
3,74.9,1,5,2
3,69.2,1,6,2
4,71.6,4,5,2
6,79.9,3,5,3
4,68.2,4,7,3
4,71.9,5,6,4
1,56.8,1,4,1
5,65.5,4,8,3
5,70.5,2,6,2
5,75.7,4,5,2
4,64.9,2,4,2
6,76.5,5,7,3
4,72.1,3,5,2
3,64.5,1,4,1
5,71.6,4,4,3
4,75.1,1,7,2
3,75.5,3,4,3
4,72.3,1,6,1
3,71.7,2,5,2
4,62.2,3,5,4
4,69.8,3,6,2
3,65.8,3,3,1
3,69.1,2,3,1
4,73.5,1,4,1
3,63.8,2,5,3
4,73.7,2,5,3
5,67.7,5,6,3
3,60.2,2,6,2
4,73.7,3,6,2
4,76.3,3,4,2
5,77.2,5,6,3
3,66,4,4,3
5,73.9,3,6,2
4,64.4,3,7,3
4,70.6,5,6,4
4,75.7,5,7,2
4,78.1,4,5,3
5,66.5,3,5,3
2,65.8,1,4,2
5,72.4,2,4,1
4,71.5,4,6,3
4,73.6,5,5,3
4,66.8,4,7,4
4,71.2,1,6,3
4,66.1,2,7,2
6,82.1,5,6,4
6,66.4,2,6,2
4,61.5,4,6,3
4,64.6,1,6,2
6,71.5,5,7,4
2,67,2,4,3
3,70.2,2,6,2
3,68.4,2,3,1
5,73.4,2,7,3
5,73.2,1,5,1
4,62.1,3,5,2
3,63.5,3,6,2
7,76,1,7,3
4,66.8,3,7,3
4,68.2,1,4,2
5,71.6,3,7,3
2,69.4,2,5,2
2,70.6,4,6,3
5,75.6,4,5,2
4,69.4,1,4,1
6,85.1,5,6,3
4,71.3,4,6,3
3,67.9,2,4,2
5,70.1,3,8,3
3,71.3,5,7,4
5,75.3,5,6,3
4,70.5,1,6,2
4,68.7,5,6,3
4,67.9,1,5,2
6,77.4,2,6,1
4,78.4,4,6,4
5,69.3,5,9,4
5,66.8,1,8,2
6,70.2,5,5,3
4,73.4,5,4,3
4,67,2,6,3
4,70.9,2,6,1
3,73.4,1,4,1
3,64.5,1,5,2
3,67.8,1,4,3
5,71.6,4,8,4
3,70.3,3,5,3
3,71,3,4,2
3,61.4,2,6,2
4,73.3,5,7,3
3,66.1,3,5,2
4,64.7,3,5,3
4,70.2,2,5,2
5,72.1,1,4,2
5,75.8,1,5,2
4,66.9,1,6,1
4,74.8,3,6,2
2,68.4,1,4,2
5,69.8,5,5,4
5,72.8,1,5,1
3,70.7,3,6,2
4,73.4,2,5,3
4,70.2,1,3,1
2,66.9,1,3,2
4,74.5,3,7,3
6,75.4,5,7,4
4,66.4,4,6,3
7,71.4,4,7,4
4,71.8,4,5,3
3,69.9,3,5,2
1,63.2,4,5,3
5,73.8,5,6,4
2,68.7,3,4,3
5,67.7,4,6,3
5,79,1,6,2
5,69.9,4,7,4
2,68,1,4,2
5,65.9,4,8,3
5,66.1,5,7,2
5,68.3,3,6,4
5,65.8,3,4,2
4,66.5,2,7,3
2,66.4,4,5,2
2,64.7,5,5,3
3,70.1,1,4,1
5,74,2,6,3
4,68.3,2,7,2
3,64.2,3,5,3
5,74.6,1,6,3
4,65.9,2,6,2
4,70.8,3,7,2
3,68.8,3,5,2
3,71.3,4,4,2
4,64.3,3,6,3
5,75.8,1,6,2
3,71.8,3,5,3
5,72.9,3,8,2
2,66.5,2,4,1
3,71.4,2,6,2
4,60.8,3,4,2
4,74.7,3,6,2
4,68.7,2,7,1
3,69.8,5,5,3
3,61.8,4,4,3
5,69.9,1,5,1
3,69.2,1,4,1
4,63,2,4,3
5,77.1,4,7,2
5,75.3,2,5,2
3,73.6,2,4,2
6,76.2,5,8,3
3,69.8,5,7,4
5,70.3,4,6,3
2,67.3,2,6,2
6,73.8,4,8,3
6,79.8,2,5,2
3,64.1,1,3,1
4,70,5,2,2
5,71.7,5,5,3
4,70.4,1,6,1
4,67.4,3,6,4
4,72.2,5,5,3
5,73.8,5,8,3
5,67.5,5,7,3
4,63.4,4,6,4
4,72.5,4,6,3
3,64.1,3,6,3
3,69.4,3,6,3
3,67.2,1,4,1
5,72.6,3,6,3
1,60.5,1,3,1
4,66.5,1,6,2
3,71.1,5,7,4
6,63.9,1,7,3
5,75.7,3,6,2
4,72.4,4,7,4
4,73.1,1,5,2
3,65.3,5,2,3
4,67.4,3,6,3
3,65,3,3,3
6,72.9,5,6,3
5,76.4,1,6,2
5,75.4,1,5,1
6,76.6,5,6,4
3,63.5,2,6,2
5,78.6,5,7,3
3,62.8,5,6,4
5,74.7,2,5,2
5,73.6,1,6,1
4,65.1,4,6,3
5,67.9,4,8,3
3,64.4,1,5,2
4,65.6,2,6,2
2,67.4,1,4,2
4,73.8,4,6,3
3,64.3,4,5,2
2,67.5,1,4,3
2,64.1,3,3,2
4,80.7,4,6,3
4,75,3,5,3
5,75.2,5,6,3
4,73.1,3,7,4
2,69.7,5,5,2
5,68.3,5,7,2
3,71.2,1,5,2
3,61.5,4,4,2
2,61.4,4,5,3
4,70.9,5,7,3
3,69.7,2,5,2
5,71,2,6,2
3,72.1,3,6,3
3,66,5,5,3
4,75.3,5,6,3
4,71.6,5,6,3
2,67.8,1,3,1
2,63.5,1,5,2
3,63.2,4,6,2
4,73.1,1,5,2
5,70,5,7,4
5,63.1,1,4,1
4,71.6,5,8,4
5,70.1,2,9,3
5,71.6,2,5,2
2,65.8,2,3,2
5,63.8,4,6,3
5,71.9,1,6,2
4,73.7,3,6,3
4,67.9,3,4,2
6,77.7,3,6,3
4,70.1,2,5,1
4,71,1,4,2
6,75.1,3,6,1
5,70.1,2,4,2
6,82.5,4,7,3
3,70.3,2,5,2
3,66.2,2,4,2
4,72.6,2,6,3
3,69.5,1,4,1
4,70.4,3,8,2
3,68.5,5,6,2
5,74.5,3,7,2
3,63.1,3,7,2
4,67.2,3,6,3
3,63.2,2,5,3
6,68.5,1,7,2
5,62.1,5,5,3
4,69,4,5,2
4,68.2,4,5,3
5,67.5,1,5,1
6,72.2,3,8,3
4,76.3,1,4,1
2,69.7,2,5,3
3,59.3,1,6,1
3,67.1,1,3,1
5,76.4,3,6,3
4,70.2,2,6,4
5,72.8,5,7,4
3,69,4,6,2
2,62.4,2,3,1
7,77.9,1,8,3
4,74,4,7,3
3,66.2,2,4,2
2,67.4,2,4,2
5,69.5,3,5,3
2,68.1,3,4,3
4,75.9,4,4,2
3,73,5,7,3
2,59.8,4,6,3
5,68.9,5,7,3
5,69.8,2,8,3
4,73.1,2,4,1
4,69.8,2,5,2
5,71.9,1,6,3
5,67.4,1,7,3
4,75.7,1,6,3
3,70,4,4,3
6,66.7,3,5,3
3,73.4,2,4,2
4,66,4,4,2
1,66.1,3,3,2
2,63.8,1,6,2
5,70.5,5,8,4
3,74.5,2,5,2
1,64,1,3,1
6,73.1,1,5,1
6,73.5,5,7,4
4,71.2,4,4,2
4,74.7,4,5,3
5,75.7,2,6,3
3,70,4,6,3
4,74.7,2,4,2
5,72.4,3,6,3
5,75.4,1,5,2
5,75.3,4,7,3
4,71.7,4,6,2
3,69.4,5,5,2
6,76.7,4,6,3
3,68,1,5,1
2,73.7,2,4,3
4,71.6,1,5,2
3,71.7,2,6,3
2,61.2,2,5,2
6,76.7,5,9,4
4,72.5,1,5,2
5,74.1,3,7,3
7,83.1,5,7,3
5,73.7,2,6,2
6,76.2,4,7,3
3,70,2,5,3
3,72,1,5,2
3,64.7,3,6,3
4,64.4,2,4,1
4,70.8,1,5,3
4,75,3,7,3
4,65.6,2,5,2
4,71.7,5,4,3
4,70,5,5,3
4,63,2,4,2
3,69.3,4,4,3
4,67.3,3,7,3
3,62.3,5,6,3
4,77.6,3,8,3
4,69.1,1,4,2
5,76.1,4,7,4
4,67.5,4,6,2
5,76.3,5,7,4
3,67.9,4,6,2
5,73.4,4,7,4
4,72.9,2,4,1
2,65,2,4,2
5,68,2,7,3
1,66.1,2,2,1
4,67.3,4,4,2
4,68.3,2,5,2
5,74.2,5,5,3
5,72.4,3,5,2
5,69.7,2,4,2
4,67,4,7,3
5,71.8,3,5,3
3,79.6,5,5,3
4,65.1,5,5,3
5,71,5,7,4
3,66.8,5,5,3
3,68.9,4,4,2
5,73.6,5,5,3
3,67.4,5,5,4
5,70.6,1,6,3
1,70,4,4,1
5,71.1,3,4,2
4,71.4,5,7,3
5,63.8,4,7,3
4,64.7,3,3,2
4,70.9,4,8,3
4,67,1,4,1
5,71.2,2,5,1
3,71.7,4,4,2
3,70.9,3,3,2
5,72,5,8,3
5,64.5,4,6,3
5,76,1,7,3
4,70.1,1,5,1
3,68.2,4,5,4
4,71.3,4,6,3
5,71.1,2,5,2
5,64.8,2,5,2
4,74.8,3,5,2
4,66.6,2,6,2
4,64.2,5,5,3
4,74.6,3,4,2
3,68.4,2,4,1
5,73.8,5,7,4
5,67,4,5,3
4,71.9,1,4,1
5,74.6,3,6,2
5,80.4,4,7,4
4,67.2,5,5,3
2,59.7,3,2,2
2,61.8,2,4,2
4,67.6,2,5,2
3,77.7,1,5,1
5,69.4,1,4,2
3,73.1,3,6,3
4,72.3,4,5,3
3,64.4,3,5,1
3,70.4,1,4,2
3,67,5,6,3
3,64.5,5,6,4
4,76.9,2,6,2
4,66.3,2,5,3
5,71.9,2,5,2
4,74,1,3,1
3,66.6,3,6,4
3,71.4,3,4,4
6,74.2,4,5,3
2,63.2,1,3,1
4,77.8,3,6,3
3,72,1,4,2
4,76.6,3,5,2
5,75.7,3,6,3
4,70.8,4,6,4
4,69.3,3,6,3
6,67.7,1,7,2
3,66.7,1,4,1
1,67.3,1,3,1
3,66,5,6,4
6,71.7,4,6,3
5,74.2,1,5,1
4,72.3,5,6,3
5,65.9,3,6,3
5,68.1,5,6,3
2,62.5,2,2,2
4,65.1,4,6,2
5,75.2,4,6,3
5,74.2,5,7,4
3,72.9,3,6,2
4,66.7,5,7,4
5,68.9,1,6,2
6,68,4,6,3
4,78.7,3,5,3
4,69.9,4,7,4
2,61.6,4,3,1
4,63.6,5,7,3
3,65.3,1,4,1
3,65.5,5,7,4
5,73.3,3,5,3
2,71.7,2,5,2
2,66.8,1,5,1
4,71.2,5,6,4
4,68.7,4,5,4
3,73.3,3,5,2
4,71,1,4,2
5,70.7,1,7,2
2,77,2,5,2
5,68.7,1,5,2
4,72.6,4,5,2
4,66.9,4,5,3
1,64.6,2,3,1
5,68.4,2,7,2
6,78.2,1,7,2
4,69.1,5,5,3
2,67.3,1,4,1
5,77,4,7,3
4,75.4,4,6,4
5,73.6,5,5,3
5,67.9,3,6,3
5,64.4,4,6,3
4,69.1,2,6,1
7,72.3,1,7,2
2,68.7,5,6,3
5,65.9,5,7,3
4,72.7,5,6,3
3,60.3,4,8,3
2,66.3,1,4,2
4,75.2,2,6,2
3,68,3,3,1
4,69.8,3,6,2
4,76.1,1,5,1
4,62.1,1,6,3
5,72.2,4,6,3
5,78.3,2,7,3
3,64.7,5,6,3
3,69.4,4,4,2
5,74,3,6,4
3,69.7,3,4,2
2,68,1,5,1
3,74.5,4,5,4
5,65.8,5,7,4
4,73.5,5,6,4
4,75.7,2,5,2
3,73.3,4,6,4
3,68,2,5,3
4,70.2,1,5,2
4,67.5,1,5,2
3,70.3,3,5,1
3,68.3,1,4,2
4,68.7,2,3,2
3,65.1,3,4,4
5,71.1,3,4,2
5,80.8,5,7,3
4,66.6,5,6,3
3,62.8,2,4,2
5,71.7,2,5,2
4,65.3,5,8,4
5,62.6,4,5,4
4,67.9,1,6,2
4,66.3,3,7,3
3,67.6,3,4,3
3,67.3,5,6,4
4,72.4,3,3,2
4,64.2,2,6,2
3,66.5,5,6,4
2,64.2,3,4,3
6,71.7,3,6,3
3,73.9,4,4,1
4,76.1,5,6,3
3,68.6,2,3,1
6,75,5,9,4
4,72.4,3,6,2
5,74.7,5,6,4
5,75.1,2,7,3
3,63.5,5,6,3
4,72,5,5,3
5,75.4,3,5,2
5,65.6,4,6,2
4,69.5,5,6,3
2,58.9,4,6,3
6,65.3,5,7,4
4,68.4,5,6,2
4,73.3,1,5,2
5,76.5,3,6,3
5,72.4,5,6,3
4,65.2,5,8,4
5,75.2,5,6,3
3,65.6,1,4,3
4,69.7,5,5,4
4,69.3,5,5,3
4,74.8,1,4,1
4,75.8,4,7,2
4,72.1,3,3,2
3,71.8,3,3,2
1,64.4,5,4,3
4,65.6,2,6,3
2,65.9,2,4,2
5,76.3,2,7,3
3,67.5,1,3,2
4,68,5,6,3
6,72.3,2,4,2
4,66,2,6,1
