coffeeconsumption_cups_per_day,lifeexpectancy_years,social_economic_status,baseline_health,diet
3,69.9,1,4,1
5,79.6,4,8,4
4,75.4,3,6,3
5,80.3,5,8,3
5,69.6,5,6,4
2,65.6,4,6,1
4,66.4,4,5,3
5,74.2,4,7,4
3,68.3,5,7,4
4,70.4,4,6,3
4,71.9,5,7,4
4,69.4,1,3,2
3,70.2,2,3,1
5,69,4,6,3
4,76.5,3,8,4
3,64.5,2,5,3
4,71.7,3,7,3
4,70.5,1,2,2
2,65.3,1,5,1
4,64.1,1,5,2
3,69,1,5,1
4,65.9,4,7,3
5,73.7,4,9,3
4,71.9,3,7,2
3,69.9,4,7,3
4,64.9,3,5,2
4,67.4,1,4,2
4,64.3,2,4,2
4,71,5,7,3
4,65.5,3,4,3
3,69.4,2,6,2
6,74,5,9,4
5,70,2,4,2
4,67.7,1,6,3
5,69.7,5,5,2
4,72,2,6,3
4,73.2,3,6,2
3,68.8,3,5,2
6,72.8,5,8,4
3,62.4,1,3,2
3,67.7,4,6,3
5,72.2,1,4,2
3,70.2,1,1,1
4,75.1,4,8,3
3,73.2,4,8,3
4,66.5,2,3,2
3,68.9,1,4,2
2,67.3,1,4,1
4,78.8,4,5,3
4,69.4,4,6,3
3,70.3,4,5,2
4,76,4,8,4
3,67.5,4,6,2
6,67.9,4,7,4
4,65,4,5,2
4,67.6,5,7,4
4,73.7,5,7,3
4,76.4,2,3,1
4,71.7,2,5,1
5,66.6,2,4,2
3,77.3,3,7,2
4,74.6,3,9,3
3,67.5,3,5,2
4,69,3,5,3
2,58.5,2,3,1
6,79,5,8,4
5,65.7,1,5,3
4,76.9,3,7,3
3,69.3,1,4,3
3,61.6,1,1,1
4,68.1,3,6,2
4,65.4,3,6,1
5,72.6,5,8,4
5,69,5,8,4
5,70.4,3,5,3
5,74.5,3,6,2
5,67,2,4,2
4,70.1,1,3,1
4,67.4,5,7,3
3,68,4,7,2
4,67.5,3,6,2
4,64.3,1,4,1
3,69.6,2,5,1
4,69.2,4,6,2
4,63,1,4,2
4,67.7,1,4,2
4,72.1,1,4,2
3,75.9,5,7,3
3,62.6,1,3,1
5,73.9,3,6,3
4,76.6,5,8,4
4,71.3,2,5,2
4,69.6,3,6,4
5,70.7,4,7,3
3,72.6,5,8,2
6,69.2,4,8,4
5,71.5,5,7,3
4,66.6,2,3,2
5,71.1,5,8,3
4,71.6,1,1,2
4,69.2,5,7,3
5,74.4,2,4,2
3,72.9,2,5,3
2,61,1,3,1
3,66.1,2,5,3
4,78.4,5,9,4
3,71.5,1,4,2
4,63.7,2,5,2
5,74.5,4,8,2
4,73.2,2,4,1
3,66.7,4,7,4
4,77.1,4,9,4
3,66,1,3,2
5,72,3,5,4
4,70,4,6,3
4,71.3,5,7,3
3,69.6,5,5,2
3,68,2,5,2
4,73.6,2,4,3
4,73.7,5,7,2
6,69,5,7,4
5,67.6,1,4,2
4,65.8,3,5,3
4,63.3,2,5,3
5,77.2,4,5,3
3,62.4,1,3,1
3,63,1,3,1
5,68,3,5,2
5,72.1,3,6,3
3,69.6,4,6,2
5,71.9,5,7,3
3,75.9,4,6,3
3,65.6,1,3,1
4,65.1,1,2,1
3,61,1,4,3
3,75.3,4,9,3
4,78.6,4,7,4
3,63.5,2,4,1
4,76.7,4,5,3
4,69.9,3,4,3
4,65.9,3,4,3
3,65.1,1,4,1
3,66,1,4,2
3,75.3,5,7,3
5,73.6,5,4,2
4,73.6,1,3,2
4,62.7,3,6,2
3,60.3,3,4,1
6,75.8,2,6,3
3,68.4,2,4,2
3,75,2,6,2
4,66.4,1,2,1
3,69.3,3,6,2
4,72.9,4,7,4
5,72.3,3,6,4
3,68,2,4,2
4,73,5,7,2
5,75.9,2,5,2
3,63.9,2,4,3
6,76.8,5,8,4
3,71,3,5,1
5,74.8,4,6,3
5,73.4,5,8,4
4,62,2,7,2
3,67,4,7,2
3,69,2,5,2
4,68.3,2,5,1
5,73,5,7,3
5,69.9,3,4,2
3,63.2,4,7,3
4,72.6,1,6,2
2,62.6,3,4,2
4,66.4,3,4,3
5,68,5,8,4
5,67.9,5,8,4
4,77.4,3,6,2
4,73.4,3,6,3
5,79,3,7,3
3,68.4,4,5,2
3,74.7,3,5,2
3,64.7,3,5,2
3,75.8,3,6,2
4,64.9,2,4,2
4,79.4,2,5,2
6,75.9,5,9,4
4,61.5,1,2,3
5,69.8,5,7,4
4,73.8,4,7,3
4,67.3,5,6,4
3,66.4,2,5,3
3,74.5,2,4,1
4,64.8,3,6,3
4,67.6,4,7,3
4,68.9,2,4,2
3,65,3,4,1
5,76.4,3,7,3
2,59.4,2,6,3
6,72.2,2,5,3
4,72.7,3,7,3
3,63,2,4,1
4,72.1,2,4,3
4,65.6,1,2,1
4,69.4,3,4,3
5,69.7,4,7,3
5,75.5,2,5,3
4,67.4,4,6,2
4,72.2,5,8,3
4,76,5,8,3
5,71.3,4,4,3
3,60.8,2,3,1
5,70.6,2,4,2
3,70.7,5,6,3
4,71.9,5,7,4
3,64.5,1,4,2
5,65,1,3,2
3,66,1,3,1
3,70.6,4,5,3
3,65.5,2,3,3
4,74.2,4,6,3
4,68.8,5,8,2
2,62.7,4,6,3
4,70.6,5,7,2
3,66.4,1,2,2
5,73.9,1,5,2
4,69.1,4,5,2
3,69.7,4,6,2
4,72.6,4,8,3
5,70.8,1,3,2
3,70.1,2,5,2
4,71.1,4,4,3
3,71,2,6,2
4,73.6,4,8,4
4,67.7,1,3,1
4,63.8,2,4,2
4,64.2,2,4,2
5,73.8,1,4,2
4,69.9,4,6,3
4,70.6,1,1,1
3,65.2,2,3,2
4,66.3,1,5,2
5,68.3,3,4,3
4,77.2,5,8,4
2,68.1,2,4,2
4,69.9,3,4,1
5,71.2,5,7,3
4,72.3,2,5,3
4,70.8,5,9,3
5,69.2,2,6,2
4,68.5,1,4,2
5,77,5,8,3
4,71.6,3,6,3
4,68.6,5,7,3
4,61.4,5,8,4
5,64.9,5,5,2
5,73.1,4,6,2
3,61.2,1,2,1
4,74.7,1,5,1
4,75.5,2,4,2
4,71.7,2,4,2
2,60.4,1,1,1
3,64,3,7,2
3,68,5,7,4
4,70.2,4,6,2
5,70.6,3,6,3
4,72,4,6,2
4,72.8,2,4,2
3,70.6,1,4,2
5,76.7,4,7,3
4,67.4,1,5,3
4,72.1,1,4,2
6,70.9,4,6,3
3,68.6,2,3,1
6,74.9,2,5,3
4,66.7,4,6,3
4,67,1,4,1
3,74.7,3,5,2
4,72.4,2,6,3
3,71.9,2,5,2
4,64.5,1,3,1
4,58.9,2,4,2
4,62.2,4,5,3
3,68.1,2,4,1
4,70.2,1,4,1
3,65.3,2,4,1
4,80.5,2,5,2
4,63.3,1,4,1
3,65.2,2,5,1
4,70.2,4,6,3
4,69.7,3,5,3
5,66.9,5,7,4
4,70,3,6,4
4,65,3,5,2
5,66.4,4,6,3
4,77.9,4,5,2
4,74.6,4,7,4
5,77.2,5,8,4
4,73.5,2,4,2
4,71.1,3,5,2
3,68.9,3,4,3
4,72.5,1,4,3
4,73.3,1,4,1
4,71.6,2,5,2
5,74.3,4,6,3
3,62.8,3,2,2
4,69.7,1,6,3
3,68.3,1,2,2
4,64.2,2,3,2
4,64.8,2,5,3
5,74.3,5,8,3
3,74.8,2,5,2
4,72.7,5,8,3
3,66.6,2,3,2
4,72.2,4,6,3
4,76.1,5,6,4
4,75.2,4,6,3
4,74.6,3,4,3
4,69.6,4,6,3
4,66.6,1,3,2
5,71.5,5,5,3
3,70.4,4,8,3
5,73.7,3,8,3
3,66.8,3,6,3
3,65.4,2,4,1
3,72.6,3,4,2
3,71.1,3,5,2
5,68.9,2,6,3
4,71.5,5,6,3
6,80.9,4,7,4
5,77.2,5,9,4
5,71.1,4,9,3
4,67.2,2,5,2
6,71.3,4,6,4
4,78.5,5,8,3
3,67,1,3,1
4,69.7,3,5,2
5,70.5,2,3,2
5,72.1,5,7,4
4,64,1,3,1
3,69.9,5,6,2
4,73.4,3,6,1
4,72.5,2,5,3
5,76,2,5,2
3,68.5,3,6,1
6,71,4,6,4
6,66.8,3,4,4
3,68.5,3,6,2
5,76.8,2,6,3
3,69.4,3,6,2
5,75.2,5,10,4
3,71.8,3,6,2
4,72.5,5,10,4
4,75.2,4,6,3
3,65.6,2,5,2
2,72.4,2,4,2
5,75.5,1,3,1
3,61,1,1,1
3,70.6,2,3,1
5,75.3,4,7,3
2,76.2,3,6,2
4,65.3,5,7,2
4,68.5,1,4,2
4,71.3,3,6,2
5,69,5,8,4
5,72.4,1,5,2
6,76.2,5,8,3
5,70.9,3,7,4
3,67.9,1,5,2
4,68.1,4,5,3
5,71.1,5,8,4
4,67.2,2,5,3
5,69.7,1,3,2
5,80.8,3,8,4
2,63.7,3,4,1
6,76.4,4,7,3
5,73.7,4,7,3
5,71.8,5,8,3
4,67.7,4,6,3
5,65.8,5,8,3
5,75.7,4,5,3
5,63.5,3,7,3
5,70.4,4,7,3
5,68.8,1,4,2
5,75.1,3,6,3
7,77.7,4,8,4
4,68.5,3,6,2
4,69.9,1,3,2
4,68.5,4,6,3
3,68,3,6,3
5,74.3,5,10,4
2,64,1,2,1
4,67.2,2,4,2
3,70.5,3,6,2
3,71.5,1,5,2
4,74.2,5,7,3
4,77.6,3,6,3
4,64.9,2,4,3
3,64.4,2,4,2
4,79,2,7,3
5,65.8,4,7,3
3,60.5,1,3,1
5,68.6,2,6,2
4,74.3,3,6,3
5,75.8,4,7,3
4,70.4,2,3,2
4,76.1,2,4,2
3,67.8,5,6,3
6,73.4,4,7,4
4,76.4,5,5,3
4,69.6,4,5,3
5,66.2,2,4,3
5,78.5,2,5,3
4,70,2,4,2
3,70.1,4,7,3
5,71.6,2,4,2
4,69.3,3,8,3
4,75.3,3,7,2
4,72,3,6,2
4,62.9,3,5,2
4,67.8,1,4,2
4,65.2,1,3,1
5,73,3,6,3
5,66.4,3,6,3
4,67.2,1,5,2
5,67,1,5,2
4,75.3,4,5,2
5,71.5,5,8,4
3,65.1,2,3,1
2,67.4,1,3,1
4,73.7,4,5,4
4,75.3,4,7,3
5,72.1,5,7,3
4,73.4,5,8,4
4,71.6,5,7,2
4,67.2,5,8,3
3,68,4,5,3
5,77.5,4,6,3
4,79.3,4,8,3
4,76,4,7,3
6,80.6,5,9,3
2,73.7,4,7,3
5,69,5,7,4
5,75.8,2,6,2
6,71.1,4,7,4
5,73.8,4,5,4
5,70.7,5,8,3
4,71.5,3,6,3
4,70.7,4,7,2
3,63,5,5,2
2,66,1,3,1
5,72.4,5,9,4
4,65.4,1,3,1
4,71.1,4,6,3
6,76.3,5,8,4
4,66.5,1,1,1
5,72,5,7,4
2,71.6,2,4,2
3,72.9,1,4,2
5,72.9,4,6,4
4,66.2,2,4,1
4,70.9,5,5,3
4,68.9,2,5,2
5,69.3,3,7,3
4,74.4,3,6,2
3,66.9,3,7,3
4,71.6,2,4,2
2,71.2,5,7,2
4,72.5,5,8,3
5,75.2,5,8,4
4,70.6,3,7,2
5,70.3,4,5,3
